40;Museu de Ciências Naturais;5;"Auditórios / Salas Multimeios / Espaços Multiuso Auditório Museu";-19.92204;-43.989743;1;2015-01-01 00:00:00;false
41;PROPPG Zoologia de Vertebrados;5;Pró-reitoria de Pesquisa e de Pós-graduação - PROPPG Programa de Pós-graduação em Zoologia de Vertebrados;-19.923746;-43.994391;1;2015-01-01 00:00:00;false
43;SECAC, NAI e SEPLAN;5;"Auditórios / Salas Multimeios / Espaços Multiuso Auditório III";-19.923527;-43.993354;1;2015-01-01 00:00:00;false
44;Clínica de Psicologia;5;"Faculdade de Psicologia Clínica de Psicologia";-19.92297;-43.994717;1;2015-01-01 00:00:00;false
45;Clínica de Odontologia;5;"Instituto de Ciências Biológicas e da Saúde - ICBS Clínica de Odontologia - Atendimento";-19.923394;-43.994892;1;2015-01-01 00:00:00;false
46;Clínica de Fonoaudiologia e Fisioterapia;5;"Instituto de Ciências Biológicas e da Saúde - ICBS Clínica de Fisioterapia";-19.923883;-43.995133;1;2015-01-01 00:00:00;false
47;ICS;5;"Instituto de Ciências Sociais - ICS Coordenação";-19.925006;-43.993402;1;2015-01-01 00:00:00;false
48;Ouvidoria Geral;5;Reitoria Ouvidoria Geral;-19.922863;-43.993492;1;2015-01-01 00:00:00;false
49;Prédio 49;5;"Diretório Acadêmico - D.A. D.A. Face (Administração e Ciências Econômicas)";-19.922858;-43.991272;1;2015-01-01 00:00:00;false
52;Abrigo de Res. Sólidos Comuns e Recicláveis;5;Abrigo de Resíduos Sólidos Comuns e Recicláveis;-19.92154;-43.994103;1;2015-01-01 00:00:00;false
53;Abrigo de Resíduos Químicos;5;Abrigo de Resíduos Químicos;-19.921481;-43.992152;1;2015-01-01 00:00:00;false
54;PROPPG;5;"Pró-reitoria de Pesquisa e de Pós-graduação - PROPPG Programa de Pós-graduação em Ciências Sociais";-19.919369;-43.994012;1;2015-01-01 00:00:00;false
55;Galpão de Serralheria;5;Galpão de Serralheria;-19.920026;-43.993636;1;2015-01-01 00:00:00;false
